val_loss,val_accuracy,loss,accuracy,dropout,weight_decay,learning_rate
"[1.0036860704421997, 0.6715518236160278, 0.5087772011756897, 0.5311099290847778, 0.5324084758758545, 0.3818855285644531, 0.4668232500553131, 0.4411947727203369, 0.32562118768692017, 0.3276500105857849, 0.5965119004249573, 0.40770667791366577, 0.5737537741661072, 0.5395573377609253, 0.24521103501319885, 0.4542921781539917, 0.3962095379829407, 0.388400137424469, 0.41117238998413086, 0.37329429388046265, 0.43771547079086304, 0.546704113483429, 0.33156639337539673, 0.3520549237728119, 0.43142643570899963]","[0.6348074078559875, 0.7631954550743103, 0.7874464988708496, 0.800285279750824, 0.8445078730583191, 0.851640522480011, 0.8544935584068298, 0.851640522480011, 0.855920135974884, 0.8659058213233948, 0.851640522480011, 0.8616262674331665, 0.8616262674331665, 0.8530670404434204, 0.8573466539382935, 0.8659058213233948, 0.871612012386322, 0.8587731719017029, 0.8773181438446045, 0.8630527853965759, 0.8701854348182678, 0.8730385303497314, 0.8730385303497314, 0.871612012386322, 0.8730385303497314]","[1.6311353370335027, 0.9574710799757912, 0.7263816827722425, 0.6006655246443898, 0.5470813070437168, 0.48190962266378595, 0.4618688550090518, 0.4290962929059977, 0.4129876691391665, 0.39666766233933276, 0.36411611052320214, 0.3714200752413171, 0.363729296077011, 0.33342653364367636, 0.3395585074723616, 0.34186759438270176, 0.31386819787514514, 0.3119599060115651, 0.3076815110156339, 0.30923910052688036, 0.2987972650772486, 0.28459382834088087, 0.28330079884271, 0.27839342634222786, 0.27790363510789357]","[0.35363248, 0.6442308, 0.73183763, 0.7934473, 0.8034188, 0.83511394, 0.8425926, 0.85683763, 0.8543447, 0.86004275, 0.872151, 0.8703704, 0.8710826, 0.8842593, 0.8810541, 0.8764245, 0.88995725, 0.89245015, 0.8935185, 0.8896011, 0.8967236, 0.9002849, 0.9056268, 0.89850426, 0.90242165]",0.1,0.00001,0.0005
"[0.784997820854187, 0.5298510193824768, 0.4312981367111206, 0.5039964914321899, 0.35494109988212585, 0.44667887687683105, 0.29814955592155457, 0.720890998840332, 0.3704795241355896, 0.3747255802154541, 0.4130038022994995, 0.23087799549102783, 0.1819303184747696, 0.3728686273097992, 0.29104146361351013, 0.2521866261959076, 0.2875179648399353, 0.372665137052536, 0.7884380221366882, 0.3865313231945038, 0.5396803021430969, 0.41821256279945374, 0.4162108600139618, 0.3894749879837036, 0.4676644504070282]","[0.7489300966262817, 0.7774607539176941, 0.8074179887771606, 0.7988587617874146, 0.8573466539382935, 0.8459343910217285, 0.867332398891449, 0.840228259563446, 0.8644793033599854, 0.8687589168548584, 0.8373751640319824, 0.8659058213233948, 0.8730385303497314, 0.8687589168548584, 0.8730385303497314, 0.8601996898651123, 0.8801711797714233, 0.871612012386322, 0.8644793033599854, 0.8758915662765503, 0.8730385303497314, 0.8601996898651123, 0.8701854348182678, 0.8659058213233948, 0.867332398891449]","[1.374940718680705, 0.652715831400662, 0.5194977913317178, 0.44932723291579135, 0.40676381589680316, 0.3631743289466597, 0.3588791292617124, 0.3384762945508006, 0.341341318992468, 0.31994283929509654, 0.32222892203901565, 0.30113125136095575, 0.30285618643135764, 0.29278799241934067, 0.274667979305626, 0.2919660161363433, 0.27341721612333914, 0.2618753274961075, 0.27366307471212836, 0.24936402735547122, 0.23620027881062608, 0.24846741917975607, 0.24958141823100227, 0.24437098396130097, 0.2459742125877288]","[0.47792023, 0.7724359, 0.8158832, 0.84045583, 0.8564815, 0.8696581, 0.872151, 0.8803419, 0.8817664, 0.8874644, 0.87998575, 0.8928063, 0.88995725, 0.89387465, 0.9031339, 0.8974359, 0.90776354, 0.89992875, 0.9002849, 0.9081197, 0.91096866, 0.90918803, 0.9081197, 0.90776354, 0.9141738]",0.1,0.00001,0.001
"[0.29699084162712097, 0.2648340165615082, 0.3116629421710968, 0.3480590581893921, 0.30969294905662537, 0.600706160068512, 0.6086859703063965, 0.5363507270812988, 0.3900187909603119, 0.37924617528915405, 0.5881500244140625, 0.8376302123069763, 0.4197714328765869, 0.6521890163421631, 0.849656879901886, 0.4364917576313019, 0.4554470479488373, 0.690221905708313, 1.058814287185669, 0.7895811200141907, 0.6469672322273254, 0.6304135918617249, 0.8941866755485535, 0.6187005043029785, 0.774907112121582]","[0.855920135974884, 0.8502140045166016, 0.851640522480011, 0.871612012386322, 0.8644793033599854, 0.8530670404434204, 0.820256769657135, 0.8445078730583191, 0.8330955505371094, 0.8373751640319824, 0.8345221281051636, 0.7860199809074402, 0.8544935584068298, 0.8616262674331665, 0.8316690325737, 0.8330955505371094, 0.8459343910217285, 0.8302425146102905, 0.7974322438240051, 0.8273894190788269, 0.804564893245697, 0.7845934629440308, 0.800285279750824, 0.8502140045166016, 0.815977156162262]","[0.8152461848367653, 0.43527393785976615, 0.3786141165980586, 0.34876840856679825, 0.3278268511988159, 0.3200359047308267, 0.3163444290303776, 0.28892582323816085, 0.3195744761799136, 0.30163306940315116, 0.2725462278409561, 0.2869530778664809, 0.302512716788512, 0.29924769754763003, 0.28112181545662407, 0.28778028114568815, 0.3116570942082636, 0.31940143396202314, 0.31837834324422387, 0.31890814647375687, 0.32234757467892095, 0.2943464416554171, 0.3132328873346334, 0.3198658102258318, 0.3010114052271911]","[0.70263535, 0.84508544, 0.8593305, 0.8742877, 0.88782054, 0.88247865, 0.883547, 0.90099716, 0.88461536, 0.89245015, 0.9002849, 0.8935185, 0.89138174, 0.88710827, 0.89707977, 0.89387465, 0.8935185, 0.89138174, 0.89138174, 0.89138174, 0.89245015, 0.900641, 0.89921653, 0.89316237, 0.89245015]",0.1,0.00001,0.005
"[1.0670417547225952, 0.5748893022537231, 0.704897403717041, 0.4365899860858917, 0.5972239375114441, 0.6207809448242188, 0.3954627513885498, 0.46754294633865356, 0.4869106709957123, 0.4319586157798767, 0.35158631205558777, 0.5608958005905151, 0.47642993927001953, 0.4666712284088135, 0.38772836327552795, 0.47817710041999817, 0.5063621997833252, 0.36651530861854553, 0.4716719686985016, 0.534612238407135, 0.3985147476196289, 0.3957785665988922, 0.3245813548564911, 0.2904191315174103, 0.4647245407104492]","[0.6262482404708862, 0.7774607539176941, 0.8031383752822876, 0.820256769657135, 0.8017118573188782, 0.8131241202354431, 0.8245363831520081, 0.820256769657135, 0.8259629011154175, 0.8074179887771606, 0.8345221281051636, 0.8116976022720337, 0.8388017416000366, 0.8231098651885986, 0.8330955505371094, 0.8245363831520081, 0.835948646068573, 0.840228259563446, 0.8430812954902649, 0.8388017416000366, 0.8330955505371094, 0.835948646068573, 0.8445078730583191, 0.851640522480011, 0.8373751640319824]","[1.7043640552422938, 0.9793478352391821, 0.7249788543437621, 0.6171669280766762, 0.5504751918662307, 0.5051265248545894, 0.46947429798267504, 0.42813403331316435, 0.40897204877644183, 0.39288594274439365, 0.3716499225536303, 0.363281578929336, 0.3384764726005728, 0.333544467419301, 0.34874808992076123, 0.33169835109656354, 0.32926064738181243, 0.3054107331652247, 0.3046732015079922, 0.30338822869833376, 0.29500400111546204, 0.2925890154308743, 0.2772761292097575, 0.2920356103327879, 0.2624125204704426]","[0.3340456, 0.63924503, 0.74572647, 0.77884614, 0.81232196, 0.82122505, 0.83618236, 0.85149574, 0.8571937, 0.86467236, 0.86858976, 0.8710826, 0.883547, 0.8906695, 0.8789174, 0.88710827, 0.8782051, 0.900641, 0.89921653, 0.8967236, 0.89707977, 0.9031339, 0.8995727, 0.89992875, 0.9081197]",0.1,0.0001,0.0005
"[0.7067393660545349, 0.48477134108543396, 0.47494760155677795, 0.6541926860809326, 0.4118877649307251, 0.2831270396709442, 0.31612294912338257, 0.415544718503952, 0.4482448399066925, 0.41629496216773987, 0.640794575214386, 0.4601041078567505, 0.47873908281326294, 0.20594672858715057, 0.43531811237335205, 0.3611471951007843, 0.362062931060791, 0.24061596393585205, 0.29667791724205017, 0.19868947565555573, 0.34685373306274414, 0.39899447560310364, 0.4095723032951355, 0.4642673432826996, 0.46398159861564636]","[0.8059914112091064, 0.8330955505371094, 0.8288159966468811, 0.8502140045166016, 0.8430812954902649, 0.8473609089851379, 0.8487874269485474, 0.8487874269485474, 0.8487874269485474, 0.867332398891449, 0.8316690325737, 0.8573466539382935, 0.871612012386322, 0.8744650483131409, 0.855920135974884, 0.840228259563446, 0.8701854348182678, 0.8644793033599854, 0.8601996898651123, 0.8701854348182678, 0.8573466539382935, 0.8530670404434204, 0.8445078730583191, 0.8430812954902649, 0.851640522480011]","[1.245724800984744, 0.6372891248461188, 0.5093459786682727, 0.45078782495270425, 0.41940985199732655, 0.40051705901779, 0.3600209362146861, 0.3408321780696554, 0.33029570963308, 0.31305791102243624, 0.31759637972058735, 0.2973783687818424, 0.2819996533910094, 0.2806783368614664, 0.2658214310974817, 0.2703217240819904, 0.26431707974173063, 0.26757510842760746, 0.25091607898388835, 0.2679814627112826, 0.24441888639729925, 0.26210345119832246, 0.2411292962878518, 0.24475875828001234, 0.25426096050997404]","[0.519943, 0.75498575, 0.82229346, 0.8326211, 0.85754985, 0.8543447, 0.8774929, 0.8782051, 0.88283473, 0.8896011, 0.88710827, 0.8935185, 0.89992875, 0.89992875, 0.9027778, 0.9017094, 0.90349, 0.9031339, 0.90776354, 0.90349, 0.9081197, 0.90705127, 0.9127493, 0.9099003, 0.9031339]",0.1,0.0001,0.001
"[0.39489251375198364, 0.4278443157672882, 0.3907054364681244, 0.4608205556869507, 0.7474042177200317, 0.4433693587779999, 0.7882457375526428, 0.5012332797050476, 0.5901774764060974, 0.3094930648803711, 0.6765261292457581, 0.7914888858795166, 0.7049856781959534, 0.5154659152030945, 0.2066657394170761, 0.797775387763977, 0.5581232309341431, 0.39087623357772827, 0.505260169506073, 0.6343216300010681, 0.3788925111293793, 0.4597061276435852, 0.9191238284111023, 0.46763113141059875, 0.47901782393455505]","[0.835948646068573, 0.855920135974884, 0.8659058213233948, 0.8416547775268555, 0.8473609089851379, 0.8459343910217285, 0.8416547775268555, 0.8487874269485474, 0.8216832876205444, 0.871612012386322, 0.8031383752822876, 0.8330955505371094, 0.8302425146102905, 0.835948646068573, 0.8430812954902649, 0.855920135974884, 0.8259629011154175, 0.8445078730583191, 0.840228259563446, 0.8259629011154175, 0.8701854348182678, 0.8630527853965759, 0.8473609089851379, 0.8302425146102905, 0.8630527853965759]","[0.7467321758596306, 0.41058769949481017, 0.3872548914023614, 0.32608102342681666, 0.3804325570068468, 0.32969027893495695, 0.3161252122319322, 0.31147953753287977, 0.3284710419823301, 0.30560694562743534, 0.28893638939259736, 0.30278708707233437, 0.29599912031593484, 0.296740560110478, 0.2990064632858646, 0.29205595682828855, 0.3308511826387498, 0.30814077635096687, 0.2819437545079451, 0.3461528346579299, 0.2862349917576184, 0.3392554559981042, 0.3063877633324376, 0.3324030340566934, 0.31526645797270314]","[0.7229345, 0.84366095, 0.855057, 0.87998575, 0.86004275, 0.88141024, 0.8867521, 0.88532764, 0.8821225, 0.89636755, 0.89316237, 0.8935185, 0.894943, 0.89707977, 0.8956553, 0.8960114, 0.88390315, 0.894943, 0.90384614, 0.88247865, 0.90491456, 0.8874644, 0.90099716, 0.8903134, 0.89850426]",0.1,0.0001,0.005
"[1.121903657913208, 0.735140860080719, 0.6397693753242493, 0.3640444874763489, 0.3822718858718872, 0.45399972796440125, 0.593209981918335, 0.3651130795478821, 0.5235446691513062, 0.4110643267631531, 0.4097597301006317, 0.3352702558040619, 0.41534021496772766, 0.4171105921268463, 0.3630029559135437, 0.5524739623069763, 0.33964231610298157, 0.347581684589386, 0.38049018383026123, 0.43118372559547424, 0.3664395213127136, 0.45895999670028687, 0.32479164004325867, 0.21181084215641022, 0.5670936703681946]","[0.651925802230835, 0.7589158415794373, 0.788873016834259, 0.815977156162262, 0.8116976022720337, 0.815977156162262, 0.8273894190788269, 0.8388017416000366, 0.8445078730583191, 0.8502140045166016, 0.8373751640319824, 0.8373751640319824, 0.8445078730583191, 0.8430812954902649, 0.8459343910217285, 0.8445078730583191, 0.8473609089851379, 0.8473609089851379, 0.8587731719017029, 0.8544935584068298, 0.8473609089851379, 0.8487874269485474, 0.8388017416000366, 0.8487874269485474, 0.851640522480011]","[1.6917991896300575, 0.9883652096799975, 0.7323065479936084, 0.6250697131510135, 0.5489880741491616, 0.4877043257751356, 0.4852607150872548, 0.44278006514592727, 0.4125897486155529, 0.4135501900119999, 0.3869721662794423, 0.3827339874373542, 0.3956672977178525, 0.35927770721946345, 0.34780376470326696, 0.332491055173412, 0.34244756566153634, 0.3345008987477023, 0.31804840084154723, 0.3275645550159987, 0.31276581795127306, 0.3132174293539803, 0.3160989487442875, 0.3027633887070876, 0.29127632926332303]","[0.35398862, 0.6367521, 0.74358976, 0.79131055, 0.8141026, 0.8400997, 0.8315527, 0.8543447, 0.86752135, 0.857906, 0.86752135, 0.8735755, 0.86289173, 0.8810541, 0.8831909, 0.88995725, 0.8896011, 0.8849715, 0.89992875, 0.8903134, 0.89707977, 0.89779204, 0.8906695, 0.8995727, 0.9099003]",0.1,0.001,0.0005
"[0.6357701420783997, 0.5576082468032837, 0.5394545793533325, 0.494773805141449, 0.28219693899154663, 0.2937021851539612, 0.3894597589969635, 0.4041425287723541, 0.36962080001831055, 0.3811221718788147, 0.3334296643733978, 0.24911317229270935, 0.37864696979522705, 0.48411422967910767, 0.3312085270881653, 0.456787109375, 0.2447662204504013, 0.5054072737693787, 0.29405736923217773, 0.3630127012729645, 0.4126802086830139, 0.39629849791526794, 0.3313544988632202, 0.6461518406867981, 0.24268746376037598]","[0.7475035786628723, 0.788873016834259, 0.8074179887771606, 0.8473609089851379, 0.8330955505371094, 0.8245363831520081, 0.8659058213233948, 0.8530670404434204, 0.8701854348182678, 0.855920135974884, 0.8616262674331665, 0.8573466539382935, 0.8701854348182678, 0.8573466539382935, 0.8644793033599854, 0.8573466539382935, 0.855920135974884, 0.8601996898651123, 0.867332398891449, 0.851640522480011, 0.8744650483131409, 0.8616262674331665, 0.851640522480011, 0.8544935584068298, 0.851640522480011]","[1.3313869482431657, 0.660869689578684, 0.5185565906032877, 0.4674533570763732, 0.41468987955666675, 0.39757468175684285, 0.374190476969776, 0.3698689972403382, 0.34700573895901354, 0.3370734244754851, 0.3184983364367417, 0.3272692089916294, 0.29090721777871126, 0.2992770456180953, 0.2929075317844706, 0.29268812521910054, 0.292913247419898, 0.2895178073152178, 0.27724365079165186, 0.2900319371977423, 0.2665776674903696, 0.27442822136260847, 0.25809708721617347, 0.26013135103418616, 0.2577274496908541]","[0.49252138, 0.7624644, 0.81659544, 0.8400997, 0.8603989, 0.86538464, 0.8703704, 0.8668091, 0.8810541, 0.88853276, 0.89102566, 0.89316237, 0.9059829, 0.89921653, 0.90099716, 0.9017094, 0.8995727, 0.9020655, 0.91381764, 0.9017094, 0.91239315, 0.9066951, 0.9145299, 0.91346157, 0.91524214]",0.1,0.001,0.001
"[0.31020304560661316, 0.28929615020751953, 0.4236699938774109, 0.513952374458313, 0.5294674634933472, 0.49374622106552124, 1.1324975490570068, 0.5165144205093384, 0.5613977313041687, 0.39793723821640015, 0.9284015893936157, 0.27656978368759155, 0.3200944662094116, 0.5472065210342407, 0.6988039612770081, 0.732795238494873, 0.40422651171684265, 0.7433643341064453, 0.3491681218147278, 0.7416809797286987, 0.524664580821991, 0.38880249857902527, 0.6445193290710449, 0.38003072142601013, 0.46686190366744995]","[0.8345221281051636, 0.8659058213233948, 0.8487874269485474, 0.8459343910217285, 0.8174037337303162, 0.804564893245697, 0.7803138494491577, 0.8544935584068298, 0.8616262674331665, 0.815977156162262, 0.8373751640319824, 0.8445078730583191, 0.8530670404434204, 0.8445078730583191, 0.8302425146102905, 0.7931526303291321, 0.8630527853965759, 0.8730385303497314, 0.8758915662765503, 0.840228259563446, 0.804564893245697, 0.851640522480011, 0.8530670404434204, 0.8573466539382935, 0.855920135974884]","[0.7581735441827366, 0.4317979656393372, 0.3899923101959065, 0.3842358133222303, 0.34830940177298, 0.34050299800359285, 0.37973594011744205, 0.33430375400771445, 0.36577704251661597, 0.3314073383808136, 0.3574854099003338, 0.3243646776234662, 0.338374322126394, 0.33907168381913777, 0.33062362127494266, 0.34229044845471013, 0.33749853358988746, 0.3596577433779029, 0.34374216861195034, 0.3676240411918727, 0.3467904370055239, 0.3683436243792205, 0.3672940031415717, 0.35334939868361864, 0.3805015864874902]","[0.7247151, 0.8532764, 0.86858976, 0.87464386, 0.87856126, 0.89102566, 0.87927353, 0.8945869, 0.8774929, 0.89138174, 0.8896011, 0.894943, 0.8928063, 0.8888889, 0.8956553, 0.894943, 0.89779204, 0.8881766, 0.894943, 0.88710827, 0.8981481, 0.8988604, 0.88710827, 0.8981481, 0.8856838]",0.1,0.001,0.005
"[1.1926631927490234, 0.8090580701828003, 0.6719534397125244, 0.5837644934654236, 0.4871876835823059, 0.5753004550933838, 0.503447413444519, 0.6244316697120667, 0.647977888584137, 0.5423755049705505, 0.4784395396709442, 0.47744306921958923, 0.45171746611595154, 0.6208024621009827, 0.43799614906311035, 0.6758440136909485, 0.57920902967453, 0.2929069399833679, 0.45426517724990845, 0.5447508692741394, 0.34347283840179443, 0.34711337089538574, 0.37882423400878906, 0.39877134561538696, 0.550283670425415]","[0.6647646427154541, 0.8088445067405701, 0.8273894190788269, 0.820256769657135, 0.8188302516937256, 0.815977156162262, 0.8502140045166016, 0.8373751640319824, 0.8502140045166016, 0.8587731719017029, 0.8459343910217285, 0.8573466539382935, 0.867332398891449, 0.8744650483131409, 0.8758915662765503, 0.8587731719017029, 0.8601996898651123, 0.8701854348182678, 0.8730385303497314, 0.8473609089851379, 0.8601996898651123, 0.8758915662765503, 0.8659058213233948, 0.8701854348182678, 0.867332398891449]","[1.7877549975685925, 1.084854187449159, 0.8363571571149038, 0.708332445037331, 0.6682625786531345, 0.6078600992164721, 0.5788234870488148, 0.5362186796135373, 0.5288619996815326, 0.5050619034006385, 0.48835831473016333, 0.4836853095608899, 0.47829334034539356, 0.4534183465517484, 0.4484458080893568, 0.4374106286937355, 0.44358637886509256, 0.41670445915300963, 0.4244138645989942, 0.41440241374181547, 0.4060850102677305, 0.40594388769562767, 0.3972005556281815, 0.40104685159150694, 0.3989788236101808]","[0.3482906, 0.6460114, 0.744302, 0.79522794, 0.8108974, 0.83084047, 0.8393875, 0.8593305, 0.8571937, 0.87393165, 0.87856126, 0.87464386, 0.8742877, 0.883547, 0.8821225, 0.886396, 0.8831909, 0.8942308, 0.89138174, 0.8967236, 0.8942308, 0.89779204, 0.9027778, 0.8988604, 0.90491456]",0.1,0.01,0.0005
"[0.7201400399208069, 0.5060588121414185, 0.462200790643692, 0.5882951021194458, 0.5656287670135498, 0.4988105297088623, 0.6262812614440918, 0.4258838891983032, 0.5580097436904907, 0.40756088495254517, 0.452567458152771, 0.5814202427864075, 0.46079057455062866, 0.4844164252281189, 0.5225971937179565, 0.36219072341918945, 0.4149962365627289, 0.45679792761802673, 0.5043984055519104, 0.48720747232437134, 0.6169361472129822, 0.5404950976371765, 0.45352524518966675, 0.4858289361000061, 0.506007730960846]","[0.7931526303291321, 0.7845934629440308, 0.8131241202354431, 0.7931526303291321, 0.8416547775268555, 0.8017118573188782, 0.8416547775268555, 0.8345221281051636, 0.8174037337303162, 0.840228259563446, 0.8473609089851379, 0.8502140045166016, 0.8145506381988525, 0.840228259563446, 0.835948646068573, 0.8487874269485474, 0.8373751640319824, 0.8473609089851379, 0.8245363831520081, 0.855920135974884, 0.8502140045166016, 0.8644793033599854, 0.8701854348182678, 0.8644793033599854, 0.8687589168548584]","[1.4661850463970434, 0.7686833885320571, 0.6329407900826544, 0.5620797483669726, 0.5340535695056969, 0.5131181959073428, 0.47601883312915466, 0.47606353508441196, 0.4411216775576274, 0.42637546789272557, 0.4223109423434972, 0.4163104465544394, 0.405969758828481, 0.39875944879999187, 0.38995491261156195, 0.38209796860347106, 0.38882727712987153, 0.3979252603998211, 0.3835114424894338, 0.37465048252347527, 0.38460605470543235, 0.3830772738511066, 0.367578717887911, 0.3670810647839495, 0.3753998096172626]","[0.47008547, 0.7695869, 0.8187322, 0.8433049, 0.8543447, 0.8639601, 0.877849, 0.87606835, 0.8888889, 0.8995727, 0.892094, 0.89779204, 0.8942308, 0.9002849, 0.9081197, 0.9127493, 0.90527064, 0.8995727, 0.9020655, 0.90776354, 0.90705127, 0.90776354, 0.9106125, 0.9113248, 0.9002849]",0.1,0.01,0.001
